                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.9218,                 8.0507,                  4.146,                      0,                      0,                      0,                      0,                 7.1083,                 14.257,                 4.1537,             0.00011669,             0.00011669,             0.00011669
                      2,                 6.8867,                 7.0782,                 3.9976,                      0,                      0,                      0,                      0,                 7.1049,                 13.588,                 4.1224,             0.00023767,             0.00023767,             0.00023767
                      3,                 6.5993,                 5.7102,                 3.6463,                      0,                      0,                      0,                      0,                 7.0996,                 12.534,                  4.076,             0.00034545,             0.00034545,             0.00034545
                      4,                  5.388,                 3.8397,                 3.3678,                      0,                      0,                      0,                      0,                 7.0938,                 11.121,                 4.0285,             0.00044003,             0.00044003,             0.00044003
                      5,                 4.3636,                 2.8359,                 2.7821,                      0,                      0,                      0,                      0,                 7.0948,                 10.559,                 4.0464,              0.0005214,              0.0005214,              0.0005214
                      6,                 3.7803,                 2.1847,                 2.3512,                      0,                      0,                      0,                      0,                 7.0803,                 8.4979,                 3.9519,             0.00058958,             0.00058958,             0.00058958
                      7,                 3.3873,                 1.8552,                 1.9999,                      0,                      0,                      0,                      0,                 7.0925,                 9.2376,                 4.0582,             0.00064455,             0.00064455,             0.00064455
                      8,                 3.0278,                 1.7441,                 1.8376,                      0,                      0,                      0,                      0,                  7.111,                 11.105,                 4.2194,             0.00068631,             0.00068631,             0.00068631
                      9,                  2.858,                 1.5972,                  1.717,                      0,                      0,                      0,                      0,                 7.0951,                 9.2371,                 4.0729,             0.00071488,             0.00071488,             0.00071488
                     10,                 2.6495,                 1.4734,                 1.5553,                      0,                      0,                      0,                      0,                 7.0743,                 7.9752,                 3.9163,             0.00073024,             0.00073024,             0.00073024
                     11,                 2.4074,                 1.4909,                 1.5216,                      0,                      0,                      0,                      0,                 7.0519,                 7.9236,                 3.7787,              0.0007324,              0.0007324,              0.0007324
                     12,                 2.3268,                 1.4561,                 1.4999,                      0,                      0,                      0,                      0,                 6.9045,                 7.0242,                 3.3575,             0.00072135,             0.00072135,             0.00072135
                     13,                 2.4452,                 1.4305,                 1.4405,                0.00426,                0.02753,                0.00289,                0.00071,                 5.5157,                 4.6633,                 2.3578,              0.0006768,              0.0006768,              0.0006768
                     14,                  2.281,                 1.3583,                 1.4491,                0.02529,                  0.144,                0.03543,                0.00898,                 4.1608,                 3.4962,                 1.9401,              0.0006768,              0.0006768,              0.0006768
                     15,                 2.1293,                 1.2576,                 1.4241,                0.10557,                0.17329,                0.07245,                0.01515,                 3.8315,                 2.7599,                 1.8913,             0.00059429,             0.00059429,             0.00059429
                     16,                 2.0857,                 1.2153,                 1.3863,                0.16213,                0.33743,                0.12948,                0.03599,                 2.9681,                 2.7531,                 1.5994,             0.00051177,             0.00051177,             0.00051177
                     17,                 2.0446,                 1.1979,                 1.3987,                0.32515,                0.46956,                0.31381,                0.11186,                 2.4778,                 1.9421,                 1.4047,             0.00042925,             0.00042925,             0.00042925
                     18,                 2.0527,                  1.179,                 1.3345,                0.41494,                0.48537,                0.41766,                0.16186,                 2.2797,                 1.6419,                 1.3436,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.9824,                 1.1423,                 1.3054,                0.52786,                0.52504,                0.53042,                0.21147,                 2.0977,                 1.5085,                 1.2948,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.9988,                 1.1309,                 1.3152,                0.69205,                0.58881,                0.65771,                0.27329,                  2.054,                 1.3126,                 1.2762,              0.0001817,              0.0001817,              0.0001817
