                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   6.92,                 8.0658,                 4.1466,                      0,                      0,                      0,                      0,                 7.1089,                 14.134,                 4.1536,             0.00011669,             0.00011669,             0.00011669
                      2,                 6.8751,                 6.6102,                 3.9042,                      0,                      0,                      0,                      0,                 7.1051,                 13.202,                  4.118,             0.00024386,             0.00024386,             0.00024386
                      3,                 6.6781,                 5.1614,                 3.5064,                      0,                      0,                      0,                      0,                 7.1012,                 11.879,                 4.0824,             0.00036443,             0.00036443,             0.00036443
                      4,                 5.2825,                 3.1159,                 3.0209,                      0,                      0,                      0,                      0,                 7.0976,                 10.407,                  4.057,              0.0004784,              0.0004784,              0.0004784
                      5,                 3.8446,                 2.3062,                 2.7626,                      0,                      0,                      0,                      0,                 7.0962,                 9.6278,                  4.059,             0.00058577,             0.00058577,             0.00058577
                      6,                 3.5649,                 1.9347,                 2.3542,                      0,                      0,                      0,                      0,                 7.0938,                 9.4631,                 4.0603,             0.00068653,             0.00068653,             0.00068653
                      7,                 3.3164,                  1.818,                 2.1612,                      0,                      0,                      0,                      0,                 7.0856,                 9.0377,                 4.0196,              0.0007807,              0.0007807,              0.0007807
                      8,                 3.0848,                 1.6452,                 2.0322,                      0,                      0,                      0,                      0,                 7.0806,                 9.4035,                 4.0391,             0.00086826,             0.00086826,             0.00086826
                      9,                 3.0902,                 1.5978,                 1.9125,                      0,                      0,                      0,                      0,                 7.0496,                 8.0356,                 3.8298,             0.00094922,             0.00094922,             0.00094922
                     10,                 2.9613,                 1.5387,                  1.772,                      0,                      0,                      0,                      0,                 7.0213,                 6.6685,                 3.6409,              0.0010236,              0.0010236,              0.0010236
                     11,                 2.7933,                 1.3938,                 1.6301,                      0,                      0,                      0,                      0,                  6.918,                  6.345,                 3.4328,              0.0010913,              0.0010913,              0.0010913
                     12,                 2.6972,                 1.3242,                 1.5259,                0.09908,                0.08648,                0.04333,                0.01162,                 4.5735,                  3.516,                 2.0973,              0.0011525,              0.0011525,              0.0011525
                     13,                 2.5542,                  1.303,                 1.4506,                0.31208,                0.21848,                0.26214,                0.09316,                 2.8415,                 2.2522,                 1.6284,              0.0011719,              0.0011719,              0.0011719
                     14,                 2.5097,                 1.2838,                 1.4274,                0.46388,                0.41118,                0.38035,                0.13259,                 2.6112,                 2.6489,                 1.5695,              0.0011719,              0.0011719,              0.0011719
                     15,                 2.3231,                 1.2501,                 1.4037,                0.42734,                0.51515,                0.39479,                0.15889,                 2.3706,                 1.8745,                 1.4724,              0.0011306,              0.0011306,              0.0011306
                     16,                 2.3228,                 1.1961,                 1.3557,                0.44874,                0.60839,                0.52219,                0.20334,                 2.3241,                 1.6955,                 1.4175,              0.0010894,              0.0010894,              0.0010894
                     17,                 2.2497,                  1.167,                 1.3397,                0.47752,                   0.55,                0.48113,                0.19805,                 2.2466,                 1.5431,                 1.3879,              0.0010481,              0.0010481,              0.0010481
                     18,                 2.1792,                 1.1112,                 1.3143,                0.74044,                0.66831,                0.69675,                0.27947,                  2.193,                  1.167,                 1.3458,              0.0010069,              0.0010069,              0.0010069
                     19,                 2.0896,                   1.07,                 1.2923,                0.68109,                0.60966,                0.67639,                0.24117,                 2.1353,                 1.3071,                 1.3235,             0.00096561,             0.00096561,             0.00096561
                     20,                 2.1222,                 1.1388,                 1.3058,                0.74588,                0.66922,                0.70037,                0.27186,                 2.2229,                 1.1289,                 1.3303,             0.00092435,             0.00092435,             0.00092435
                     21,                 2.0286,                 1.0303,                 1.2532,                0.78804,                0.72314,                0.76675,                0.32318,                 2.0029,                 1.0842,                 1.2766,             0.00088309,             0.00088309,             0.00088309
                     22,                 2.0039,                  1.014,                  1.255,                0.75442,                0.68562,                 0.7286,                0.25532,                 2.4405,                 1.1263,                 1.3656,             0.00084184,             0.00084184,             0.00084184
                     23,                 2.0358,                0.99404,                 1.2497,                0.84715,                0.72882,                 0.7725,                 0.3083,                 2.0005,                 1.0578,                 1.2767,             0.00080058,             0.00080058,             0.00080058
                     24,                 2.0834,                 1.0485,                 1.2749,                0.83866,                 0.7388,                0.78939,                0.28523,                 2.1308,                  1.079,                 1.3077,             0.00075932,             0.00075932,             0.00075932
                     25,                 2.0145,                 1.0018,                 1.2424,                0.84619,                0.74306,                0.80641,                 0.3324,                 2.0623,                 1.0021,                 1.2592,             0.00071806,             0.00071806,             0.00071806
                     26,                 1.9533,                0.96642,                 1.2174,                0.90472,                0.79106,                0.86167,                0.42639,                 1.7226,                0.89371,                 1.1672,              0.0006768,              0.0006768,              0.0006768
                     27,                 1.8879,                0.92828,                 1.1877,                  0.933,                0.78955,                0.87722,                0.41647,                 1.7898,                0.86857,                 1.1779,             0.00063554,             0.00063554,             0.00063554
                     28,                 1.8455,                0.91081,                   1.21,                0.93879,                0.81038,                0.89613,                0.46537,                 1.7424,                0.84736,                 1.1819,             0.00059429,             0.00059429,             0.00059429
                     29,                 1.8928,                0.91012,                 1.1934,                0.92501,                0.80421,                0.88765,                0.47943,                 1.6152,                0.84393,                 1.1596,             0.00055303,             0.00055303,             0.00055303
                     30,                 1.8434,                0.88519,                 1.1873,                0.93112,                0.80405,                0.86991,                0.45667,                 1.6779,                0.83454,                 1.1589,             0.00051177,             0.00051177,             0.00051177
                     31,                  1.782,                0.93848,                 1.2386,                 0.9435,                0.78216,                0.86316,                0.43147,                 1.7686,                 0.8624,                 1.1665,             0.00047051,             0.00047051,             0.00047051
                     32,                 1.7894,                0.93121,                 1.1972,                0.92305,                0.77431,                 0.8797,                0.46482,                 1.6579,                0.85583,                 1.1444,             0.00042925,             0.00042925,             0.00042925
                     33,                 1.7163,                0.89378,                 1.1909,                0.94244,                0.81076,                0.89719,                0.49827,                 1.5683,                0.83615,                 1.1103,             0.00038799,             0.00038799,             0.00038799
                     34,                 1.6878,                0.87048,                 1.2066,                0.95651,                0.82311,                0.90404,                0.49398,                 1.6405,                0.81411,                 1.1229,             0.00034674,             0.00034674,             0.00034674
                     35,                 1.6825,                0.86162,                 1.1904,                0.94701,                 0.7883,                0.90712,                0.51158,                 1.5962,                 0.8057,                 1.1213,             0.00030548,             0.00030548,             0.00030548
                     36,                 1.6595,                0.85178,                 1.1749,                 0.9293,                0.79268,                0.91137,                0.51467,                 1.5562,                0.80682,                 1.1068,             0.00026422,             0.00026422,             0.00026422
                     37,                 1.6236,                0.83919,                 1.1259,                0.92169,                0.81004,                0.90545,                0.47228,                 1.6634,                0.82993,                 1.1181,             0.00022296,             0.00022296,             0.00022296
                     38,                 1.6502,                0.84888,                 1.1518,                0.92203,                0.82609,                0.91078,                0.51809,                 1.5168,                0.79855,                 1.0882,              0.0001817,              0.0001817,              0.0001817
                     39,                 1.5859,                0.83877,                 1.1774,                0.92697,                0.83098,                0.91708,                 0.5445,                 1.4812,                 0.7637,                 1.0822,             0.00014044,             0.00014044,             0.00014044
                     40,                 1.5849,                0.81696,                 1.1438,                0.93046,                0.83923,                0.92168,                0.54255,                 1.5044,                0.75434,                 1.0863,             9.9187e-05,             9.9187e-05,             9.9187e-05
