                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.9704,                 10.435,                 4.1577,                      0,                      0,                      0,                      0,                 7.1038,                 15.795,                 4.1522,             0.00018337,             0.00018337,             0.00018337
                      2,                 6.9162,                 8.9684,                 3.8685,                      0,                      0,                      0,                      0,                 7.0981,                 14.464,                 4.0819,             0.00037799,             0.00037799,             0.00037799
                      3,                 6.5629,                 5.7188,                 3.3772,                      0,                      0,                      0,                      0,                 7.0879,                 12.157,                 3.9793,             0.00056695,             0.00056695,             0.00056695
                      4,                 4.4195,                 3.0714,                 2.9219,                      0,                      0,                      0,                      0,                 7.1086,                 15.967,                 4.2527,             0.00075025,             0.00075025,             0.00075025
                      5,                 3.7828,                  2.348,                 2.2896,                      0,                      0,                      0,                      0,                 7.1239,                 19.639,                 4.4866,             0.00092789,             0.00092789,             0.00092789
                      6,                 3.3404,                 2.0282,                 1.8798,                      0,                      0,                      0,                      0,                 7.1461,                 26.541,                 4.8692,              0.0010999,              0.0010999,              0.0010999
                      7,                 3.0327,                 1.8906,                 1.6547,                      0,                      0,                      0,                      0,                 7.1449,                 27.702,                 4.8429,              0.0012662,              0.0012662,              0.0012662
                      8,                 2.8479,                 1.7598,                 1.5754,                      0,                      0,                      0,                      0,                 6.7853,                 8.3899,                 3.3053,              0.0014269,              0.0014269,              0.0014269
                      9,                 2.6974,                 1.6498,                 1.5179,                0.01524,                0.17025,                0.02056,                0.00666,                 3.2994,                 3.5398,                 1.8667,              0.0014784,              0.0014784,              0.0014784
                     10,                 2.6655,                 1.6985,                 1.5172,                0.34551,                0.23378,                0.21879,                0.08104,                 2.3571,                 2.1648,                 1.4728,              0.0014784,              0.0014784,              0.0014784
                     11,                 2.5524,                 1.5869,                 1.4045,                0.50231,                0.52818,                0.44547,                0.15295,                 2.4169,                 1.8119,                 1.3754,              0.0014548,              0.0014548,              0.0014548
                     12,                 2.4503,                 1.4529,                 1.3509,                0.65112,                0.49111,                 0.5225,                0.14024,                 2.7108,                 1.5253,                 1.4387,              0.0014312,              0.0014312,              0.0014312
                     13,                 2.3412,                 1.3658,                 1.3235,                0.51875,                0.53273,                0.54041,                0.15239,                 2.6067,                 1.4125,                 1.3686,              0.0014077,              0.0014077,              0.0014077
                     14,                 2.3411,                 1.3463,                 1.2926,                0.76822,                 0.5563,                0.59113,                0.18685,                 2.6338,                 1.3503,                 1.3705,              0.0013841,              0.0013841,              0.0013841
                     15,                  2.239,                 1.2768,                 1.2701,                0.83201,                0.61028,                0.66424,                0.24048,                 2.3245,                 1.1873,                 1.2716,              0.0013605,              0.0013605,              0.0013605
                     16,                 2.2911,                 1.2652,                 1.2599,                0.82866,                0.64861,                0.75514,                 0.3094,                 2.1468,                 1.2016,                 1.2249,              0.0013369,              0.0013369,              0.0013369
                     17,                 2.1976,                 1.2167,                 1.2471,                0.70013,                0.66772,                 0.7131,                0.25329,                 2.1846,                 1.1901,                 1.2414,              0.0013134,              0.0013134,              0.0013134
                     18,                 2.2363,                 1.2452,                 1.2439,                0.78374,                0.71742,                0.78453,                0.32968,                 2.0392,                 1.0976,                 1.1817,              0.0012898,              0.0012898,              0.0012898
                     19,                 2.1786,                 1.2059,                 1.2129,                0.86381,                0.77978,                 0.8767,                0.42429,                 1.7971,                 1.0659,                 1.1229,              0.0012662,              0.0012662,              0.0012662
                     20,                 2.0838,                 1.1978,                 1.1888,                0.90131,                0.74359,                0.85345,                 0.3948,                 1.8658,                 1.0379,                 1.1368,              0.0012426,              0.0012426,              0.0012426
                     21,                 2.0331,                 1.1342,                 1.1907,                0.86479,                0.74183,                0.87709,                0.37098,                 2.0378,                 1.0552,                 1.1771,              0.0012191,              0.0012191,              0.0012191
                     22,                 1.9685,                 1.1018,                 1.1596,                0.89157,                0.80366,                 0.9056,                0.43699,                 1.8249,                   1.02,                 1.1243,              0.0011955,              0.0011955,              0.0011955
                     23,                 1.9672,                 1.0837,                 1.1496,                0.86227,                 0.8223,                0.89768,                0.40811,                 1.9461,                0.96304,                 1.1384,              0.0011719,              0.0011719,              0.0011719
                     24,                 1.9442,                 1.0631,                  1.139,                0.91907,                0.75063,                0.90387,                 0.4359,                 1.8474,                0.95487,                 1.1382,              0.0011483,              0.0011483,              0.0011483
                     25,                 2.0149,                 1.0985,                 1.1503,                 0.9547,                0.78547,                0.92423,                 0.4877,                 1.7034,                0.90862,                  1.094,              0.0011247,              0.0011247,              0.0011247
                     26,                  1.961,                 1.0589,                 1.1366,                0.93363,                0.82997,                0.92906,                 0.4938,                  1.658,                0.95809,                 1.0809,              0.0011012,              0.0011012,              0.0011012
                     27,                 1.9061,                  1.047,                 1.1186,                0.90502,                0.87916,                0.93943,                0.48722,                 1.7001,                0.87972,                 1.1023,              0.0010776,              0.0010776,              0.0010776
                     28,                 1.8731,                 1.0253,                  1.115,                0.87026,                0.87235,                0.92784,                0.46478,                 1.7769,                0.87592,                 1.0906,               0.001054,               0.001054,               0.001054
                     29,                 1.8647,                0.99696,                 1.1234,                0.90297,                0.82575,                0.93639,                 0.4965,                 1.6632,                0.89781,                  1.081,              0.0010304,              0.0010304,              0.0010304
                     30,                 1.8188,                0.98116,                 1.0967,                0.90844,                0.85479,                0.93432,                0.50106,                 1.6142,                0.85832,                   1.06,              0.0010069,              0.0010069,              0.0010069
                     31,                 1.8056,                0.96669,                 1.1012,                0.93855,                0.86695,                0.94304,                0.53074,                 1.5532,                0.82544,                 1.0452,             0.00098329,             0.00098329,             0.00098329
                     32,                  1.784,                0.94925,                 1.0846,                0.92909,                0.88699,                0.94761,                 0.5437,                 1.5252,                 0.8074,                 1.0356,             0.00095972,             0.00095972,             0.00095972
                     33,                 1.7863,                0.92564,                 1.0602,                0.93085,                0.85504,                 0.9475,                0.52662,                 1.5526,                0.81071,                 1.0374,             0.00093614,             0.00093614,             0.00093614
                     34,                 1.7887,                0.94858,                 1.0912,                0.91286,                0.88989,                0.94945,                0.52672,                 1.6374,                0.81756,                 1.0576,             0.00091256,             0.00091256,             0.00091256
