                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.9628,                 10.136,                 4.1264,                      0,                      0,                      0,                      0,                 7.1033,                 15.609,                  4.149,             0.00018337,             0.00018337,             0.00018337
                      2,                 6.6523,                 5.9161,                 3.6375,                      0,                      0,                      0,                      0,                 7.1016,                 14.576,                 4.1245,             0.00037392,             0.00037392,             0.00037392
                      3,                 4.3956,                 3.1813,                 3.2825,                      0,                      0,                      0,                      0,                 7.1037,                 9.7917,                 4.1473,             0.00055457,             0.00055457,             0.00055457
                      4,                 3.6944,                 2.0629,                 2.4855,                      0,                      0,                      0,                      0,                 7.0939,                 7.4671,                 4.1095,             0.00072532,             0.00072532,             0.00072532
                      5,                 3.3346,                  1.814,                 1.8554,                      0,                      0,                      0,                      0,                  7.084,                 7.6291,                 4.0566,             0.00088616,             0.00088616,             0.00088616
                      6,                 2.9445,                 1.6226,                  1.694,                      0,                      0,                      0,                      0,                 7.0779,                 8.1922,                 3.9846,              0.0010371,              0.0010371,              0.0010371
                      7,                 2.7227,                 1.5001,                 1.5591,                      0,                      0,                      0,                      0,                 6.7693,                 6.9784,                 3.4229,              0.0011781,              0.0011781,              0.0011781
                      8,                 2.7321,                 1.5354,                 1.5385,                0.14538,                 0.1596,                0.09786,                0.02948,                  3.037,                 2.4513,                 1.6464,              0.0013093,              0.0013093,              0.0013093
                      9,                 2.6348,                 1.4795,                 1.4626,                0.48789,                0.53971,                0.47119,                0.14717,                  2.398,                 1.7142,                 1.4472,              0.0013369,              0.0013369,              0.0013369
                     10,                 2.5661,                 1.5219,                 1.4447,                 0.3844,                0.51601,                0.44511,                 0.1345,                 2.4569,                  2.495,                 1.4365,              0.0013369,              0.0013369,              0.0013369
                     11,                  2.422,                 1.4341,                 1.3563,                0.43323,                0.46653,                  0.464,                0.17622,                 2.1997,                 1.9855,                 1.3099,              0.0012957,              0.0012957,              0.0012957
                     12,                 2.3289,                 1.3114,                  1.317,                0.50476,                0.66047,                0.58422,                0.23167,                 2.1017,                 1.6697,                 1.2718,              0.0012544,              0.0012544,              0.0012544
